prenom,nom,telephone,username,description,OUpath,mail
Jarvis,Dawber,3524290670,dawbjar,direction,"ou=Direction,ou=M159,dc=M159LDAP,dc=LOCAL",jarvisdawber@M159.ch
Bordy,Lavelle,4171578066,lavebor,administration,"ou=Administration,ou=M159,dc=M159LDAP,dc=LOCAL",bordylavelle@M159.ch
Birgit,Swarbrigg,4034186330,swarbir,administration,"ou=Administration,ou=M159,dc=M159LDAP,dc=LOCAL",birgitswarbrigg@M159.ch
Sergio,DeMattei,2021469227,demaser,administration,"ou=Administration,ou=M159,dc=M159LDAP,dc=LOCAL",sergiodemattei@M159.ch
Carmen,Gofford,8914682971,goffcar,administration,"ou=Administration,ou=M159,dc=M159LDAP,dc=LOCAL",carmengofford@M159.ch
Lolly,Karlolczak,9073995948,karllol,administration,"ou=Administration,ou=M159,dc=M159LDAP,dc=LOCAL",lollykarlolczak@M159.ch
Vicky,Brookwell,5018178861,broovic,administration,"ou=Administration,ou=M159,dc=M159LDAP,dc=LOCAL",vickybrookwell@M159.ch
Jania,Ridout,2386295973,ridojan,administration,"ou=Administration,ou=M159,dc=M159LDAP,dc=LOCAL",janiaridout@M159.ch
Kelvin,Guilloux,4427687496,guilkel,administration,"ou=Administration,ou=M159,dc=M159LDAP,dc=LOCAL",kelvinguilloux@M159.ch
Amity,Dyett,2181839792,dyetami,administration,"ou=Administration,ou=M159,dc=M159LDAP,dc=LOCAL",amitydyett@M159.ch
Con,Charlo,9963410995,charcon,administration,"ou=Administration,ou=M159,dc=M159LDAP,dc=LOCAL",concharlo@M159.ch
Joelynn,Milthorpe,9209535726,miltjoe,administration,"ou=Administration,ou=M159,dc=M159LDAP,dc=LOCAL",joelynnmilthorpe@M159.ch
Stu,Sharpus,7377915779,sharstu,administration,"ou=Administration,ou=M159,dc=M159LDAP,dc=LOCAL",stusharpus@M159.ch
Francine,Kerley,2586823560,kerlfra,administration,"ou=Administration,ou=M159,dc=M159LDAP,dc=LOCAL",francinekerley@M159.ch
Nicky,Gutsell,5564669630,gutsnic,administration,"ou=Administration,ou=M159,dc=M159LDAP,dc=LOCAL",nickygutsell@M159.ch
Birch,Malek,4743276423,malebir,administration,"ou=Administration,ou=M159,dc=M159LDAP,dc=LOCAL",birchmalek@M159.ch
Timi,Aubrun,6067362245,aubrtim,administration,"ou=Administration,ou=M159,dc=M159LDAP,dc=LOCAL",timiaubrun@M159.ch
Anabella,Macilhench,8582937393,maciana,administration,"ou=Administration,ou=M159,dc=M159LDAP,dc=LOCAL",anabellamacilhench@M159.ch
Tiphani,Margerrison,7205840473,margtip,utilisateur,"ou=Utilisateur,ou=M159,dc=M159LDAP,dc=LOCAL",tiphanimargerrison@M159.ch
Eba,Sive,4289331417,siveeba,comptabilite,"ou=Comptabilité,ou=M159,dc=M159LDAP,dc=LOCAL",ebasive@M159.ch
Torin,Mounce,4322310452,mountor,comptabilite,"ou=Comptabilité,ou=M159,dc=M159LDAP,dc=LOCAL",torinmounce@M159.ch
